language,split,text,label
ary,train,wayeeh serbia rit kano ki tlo les muslims hhhhhhhhh mais daba mab awch o lah o lem,neutral
ary,train,la fa on bach kayflowi fih dik lfr a dial lah wa akhiran l it la rime,positive
ary,train,raki f chahal mabantich wla rani ghalta,neutral
ary,train,dok rimat li kaylo ljassous fkroni f dak dessert w lkhdra li kayb aw f l chia dial sou,neutral
ary,train,sbah lkhir bety kent kanftar sbah ou tfakartek mazal kantssna f follow dyalek ghadi nktb lik kl nhar,positive
ary,train,lllah akbar kabira wallah ajmale khabar sam to fa hayati ana lato llah la dalime,negative
ary,train,ya tih l az hit rajal jazayri ohh hada howa hna natmanaw yji andna n amlo lih sti bal wa ar,positive
ary,train,nas dial jihawi ra ha kadbin elina daro lina labe zeema jam in lwra bash il aw bash ichwiw ryossa nhar l id,negative
ary,train,trans almou nta w zhrak t dar tti f wa d jdid ssan mn ctm c o t dar tti f wa d kfass mn trans kam ni za,neutral
ary,train,nta machi m ana na lghlade ga,negative
ary,train,z ma chkoun li baghi yt lm l arabe,neutral
ary,train,hdana hhhhhhhh wa mn chhal hadi chi ans,neutral
ary,train,mabrouk l clip samo helo ktir,positive
ary,train,ana makanchouf hta enza hit bloc howa ssilahi oila derto bhali ghathenaaw,negative
ary,train,ah lach mafkhbarkch rah ta i rah a ad a dara man andar goliha tjarab tji bach ntlagaw liha had bab lmatar blhrawat hawajhi ok,negative
ary,train,l oghnia dyal chawki w souka m ahom fiha two tone wa ila p hadchi li ban lia w lah a lam,neutral
ary,train,chno logiciel li katkhedmi bih bghit ta ana ndir tasamim,neutral
ary,train,ou wahed lhaja omggg daba ana je parle pas souvent a aym ou hua kan baghi iakhed dftari while knt kan red l or an ou ou iyet,neutral
ary,train,ychedha lik ywsaa lik said,neutral
ary,train,hhhhhhhh haja limatchbeh molaha hraaam hhhhhh iwa khassna ghir nberdo bhal ibtissam,neutral
ary,train,dakchi dyal khfif drif p,positive
ary,train,where are those kanchofo ghir a d tanjra hnaya w ad zaydinha benefkha,negative
ary,train,ghir ntssadro rej o emails lisaybna nssawto bihom i f face bdina hamla kanhelo les emails,neutral
ary,train,nsite a samira lbare kente f paris nd jada w rada ranmchi l souide w f ljomo a r nmchi l ksa nzidek wla brak,neutral
ary,train,avec la canicule rah lwahed tay doub,neutral
ary,train,allah ywaf ak wysahal lik ya rab,positive
ary,train,ihaaab nta tstaleel la ab o nta charaftii l maghreeb tkp pas hna mftakhriin biiik wlah ila raak charaf l mdint asefi kan ma lik,positive
ary,train,daba nti mghribya bezaf lik akhti tgouliha wakha bdehk o had lmra bagha tm ch i f habib l alb diriha mais b id la hanane ok,negative
ary,train,bb sawti m ana hna plz hahya tari a,neutral
ary,train,PHOTO,positive
ary,train,mskin o hwa mnin aliha bla terbaya bla akhla mslahjya ananya matjrhatch ach ngoulikom lah y tikom l z ama dl rakom fih,negative
ary,train,eih sabab l araratmana tkoun a walik bikheeromatkonch haja khayba hiya li adit li ha l arar,positive
ary,train,tfo kon ghir knt lpharamacie ala dak nhar,neutral
ary,train,ta ntl l tanger w njibalk,neutral
ary,train,charaff liya khtii abi ikhalikk,positive
ary,train,sadmati f anis aktar min wasim lboldan kolha mtahda ela lmghreb l arabi,neutral
ary,train,en plus hna ma ndna ta haja dad chi hd kolhum mgharba btissam chj naha o ba in m aha o lokhrin lah y awnhum twfi,neutral
ary,train,merci habibti lea wallah mafi menak kelek akhla wtiba mabtinsa hada batmanalek kel najah bmot fik ana,positive
ary,train,hbiba achno kalimat oghniya bghit nssma lihaa,neutral
ary,train,non matkatbo lih walo aslan howa ma arf walo w rah rj at lih follow bla matkbroha,neutral
ary,train,hbiban caad cv lik db librak trnii fa rsooo chno ydiir blizz jwb ila kan ndak chi wa ttt,positive
ary,train,plz matdwiha ta f chi wa d ila mtaf in khliwna n awno wakha hi bretwet,neutral
ary,train,iwa siri hta tsam ih mzyan rah douya li kayhdar ou yhkam bla mayssma ok,negative
ary,train,wach katntadri mna nssaf ou liik chej iha f tissaaaa madam baghana n tiwk tissaaaaaaaaaaaaaaa,neutral
ary,train,ghada l bety o katwassi fiyaa gheda ghanfay k bekriisa a m amn hhh,neutral
ary,train,aaah eraft lghunia mais makan rafshi bli hada l unwan diala,neutral
ary,train,aw safi khali hada daba taf o la hada li ktabti,neutral
ary,train,hada lidar hadchi ollah ta ghayt deb f l br hhhhh,neutral
ary,train,wlah ya babaha wojat nlemaghrib ya ta ndiroliha aha mosetadima bach nweriwha mgharba chkaysewaw,negative
ary,train,awal soal kanjawb lih khatae o marbaht ta no taaa hhh,neutral
ary,train,ratb a dima mghribya hadi adyat hayat aw mawt bnssba lmgharba,neutral
ary,train,yemkan ma baghachi sol ana hdartlek la hadok li ma andomchi prbl o ana ma andich mochkil m a ihab andi m a hadok li,negative
ary,train,asgass ambarki awltma koul am w nti b alff ir inchaallah,positive
ary,train,monkar ntouma li dartouh ya wjah lwil li kathadro f sahra li aslan ma roufa maghribiya w mali nchart had tweet ya ni m tarfa bh,negative
ary,train,oui zayan boys ola chi haja bhal haka,neutral
ary,train,machi tbe d niit hit houa li baghi liha lkhir tema mais dir lhodod safi,neutral
ary,train,ana ghaaaaa tan awnk o sf and low key baghaha fihom devil mskin ya,negative
ary,train,wala ihamk ghir khalihoum mnhoum llah,neutral
ary,train,chty chwa f tanger p,neutral
ary,train,cho ra yk b btisam tiskat bbidayat michwarha et merci,positive
ary,train,walakin lamap kaykoun dima m tlin,neutral
ary,train,raw a ana mn lbarh o ana kantfarj fi lvedio wwawww yarit ighanihom fi lpraim,positive
ary,train,zwina bzefana smi taha min ablaslan b ib do aawi l oghniya lay a la chakhsiyitha kteerbravo,positive
ary,train,hhh wach kayhdar la bloque awili maymknchh akhayy ndirha lik ila ana nta rak ziz,positive
ary,train,amina hhh benisba les j aimes mashi lik ntii hh la meriemm mai lax saybty liha l twitter,neutral
ary,train,nihad goli l betty rah salah dayarlha follow,neutral
ary,train,hahahah tahowa ghadi idir booom,neutral
ary,train,salam kidayrin alhbab lyouma sehd oul jaj f agadir bnisba lohkm la aljamila jihan howa anaha dir zif oumtaakd ghayji m aha,positive
ary,train,sbania hbto liha srwal ya chwakr dat lgaz batle ntoma khlsto le gazoduc maghreb europe o na khdinah batl o sbania raha tsift fl gaz dyalkom lina t t o fl alb doubaba sir fais la queue bach tchri l lib ila b iti m ablni ghadi tsawr ghi les cokhones,neutral
ary,train,svp imkan n arfo mnak imta ghadouz had l al a,neutral
ary,train,gheda ghadi nrkeb talfaza dakiya jdida lt,neutral
ary,train,ahah mais khskum thello inikuom w ntuma mtab in l anz rah baghin ynawdo lfitna,neutral
ary,train,gal lih itla aw f marjane respire plus sue,neutral
ary,train,sweli la polonaise welahita katmsah,neutral
ary,train,rah daz min h tal h,neutral
ary,train,hhhh chafti tshirts hiya liwakhdahom maktoub fihom manchofouch,neutral
ary,train,aygolia nti li majritish mzyan bash tchdi train,negative
ary,train,kayna chi whda hsn mn hdi f twitter,neutral
ary,train,le boutonneux,neutral
ary,train,akid ya ahla hanooooan mmmmah lik khask takoni wiya bzaf arifiya dyaliiiiii,positive
ary,train,daba walou chi skhina mat rdch,neutral
ary,train,andk face dokheli diri jaime lpage li feface ou diri hta lsfha pllz,neutral
ary,train,hadi hiya najma li kharjat men endkom wa chokran,neutral
ary,train,kifach mal ahmad al madi,neutral
ary,train,khlas kolchi momkin ms f alam net haja adya dnc mchi chi haja kbira hedra oghadoz o l acharat ghtb a acharat,neutral
ary,train,nn serieux f had l intikhabat wla ghir kaykhrb mcha doni l dim li kan zuin,negative
ary,train,ntoumma dimane l a wa ou ghadine tb aw ntoumal a wa,positive
ary,train,derby catalunya ml ub la goal wahd,neutral
ary,train,finek al i lam lmaghribi ib lfenanin dyawelena yl aw da em fkharij o febladena nn,neutral
ary,train,hada zaman lati lad aman walaw fi blad l aman,negative
ary,train,an sed dinmo dak ig gae lbnat ngolihom lo o lia bzoula,neutral
ary,train,machi pamela lia slimane,neutral
ary,train,b ala chftiha b eynik hadi wa d sata kant tadwi fl mosawat w kda w t et atsowlat wa d sat wch ndk garro galliha kayn marquise gatlih oh merde,neutral
ary,train,ana radya b hyati mali w malkoum,positive
ary,train,wakhad lik nadra zwina insane rai a i ssas bik rhdyi tkon insan jamil,positive
ary,train,soltana mbrouk roujo ik w inchallah fi ta adom bn chance w khdemi f leval mzian je taime,positive
ary,train,ibtissam i mil li follow darori,neutral
ary,train,hana hbibt lmaroc rahna farhanin bik okhalik m a lmaystro dyalna ihab okhalikom m a haydi ou rafa ou ali ou sohayla ganiw cha bi,positive
ary,train,ghadi ytb ni b chi ssa hhhh sheriff hreeeb,negative
ary,train,iwa hit mosalima kathdar la islam b al ama sahayina rah moskhin kaysabo fina bla may aso,negative
ary,train,slam azin diyali ana kanibgik,positive
ary,train,wa a kdob ktjina nfs saraha kayb a fiya l hal nchouf chiwahd fayt hanane wla rapha wakha tkoun lmosaba a tafha,negative
ary,train,wbezzaf khorin wlina kan sam o bihom ghir f tv pffff,neutral
ary,train,dounia l az lik bant blade diman wa fa m a wlad bladak ou tchaj ihom akss chi hacharat wa fi m aha diman hit katbghik,positive
ary,train,ohowa ghiir kikdeb hit ibtissam hawa mina rib liha okihdar m a kenza o chirine yahiya o doaa,neutral
ary,train,galt bali rah na sa ara naya mashi kanjiw kanhadro fshi ad b al haka rah hiya lijabdatna ayrat lina bladna,negative
ary,train,nn khass ydaghto lihom bach y alsso lmoda habo baghin ydiro labass la dharna,neutral
ary,train,chokraan bzaaaf chahada dialak la ibtissam tiskat kan tazo biha kamaghariiiba we thenk you so mush,positive
ary,train,la bl dik lmraa la plupart d entre vs kanu kiswtuu l dounia w hna swtna l zineb w btissam fstarsonline,neutral
ary,train,que la v rit bbb lach nekdeb o ana kawni mostami kanchuf akhla l fanan bal men sawt dyalo o nti tjam u fikk bjuj y,positive
ary,train,hhhh mathshmsho ana nbqa blash,neutral
ary,train,incha lah ykon f aman o salam i howa maskin nomine o rah arf hadxi o ncha lah raj b a la nissba had lmawsim ilakan m a lhaycha,neutral
ary,train,f al a i a ajbatni kalimat o l ikam li ktabti mai eqt ce que tu es lun de mes amis ou quoi,positive
ary,train,hanane hbiba rah redone dar lik follow fe instgram,neutral
ary,train,habibtna ya ghadoch wach andak chi a mal o imta gha diri jayartk lil lmagheribb,positive
ary,train,kima nti makatkhali ta d ydekhel fi yatk ta hiya wdiha fjeneb li derek,negative
ary,train,ma jbtnich tari a bach kathdar bagha dir li a omaradyach thdar m aha sn blach,negative
ary,train,lach katheto tag betyyy pllz messhih nass baghin fach itfarjou,neutral
ary,train,awili achhad chii hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh lama ghazi amir limakitssratch liya ola dik hala hhhhhhh,negative
ary,train,shiti had shi kolo li ktabti rada ytssawar w rada ymshi l youssra w nshofha tarabikoum shwyaa tssanay,neutral
ary,train,mal bnadm cha l tayh ktr mn nayd wach katjch o bnt bladkom chj oha obskat madkhloch fhyatha chkhsya bnadm hbel wllh lah y fo,neutral
ary,train,alah alah alah la ihab ou aloch wahdahom bilacademy nchba minhom ana farhana wah rab,positive
ary,train,chno had tberhich a kheti donia ghadi tefro akid w ibtissam tahia wenti ghatb ay hna diri ghi fel machakil w galsa f bitek,neutral
ary,train,inshalah ya amira ikono mitl said o adil o bmd o hind o ranya jdidi,positive
ary,train,allah ichafih kansafa lih allah ikamal lih b khir mamktabch lih final mskin,positive
ary,train,ila nti katchofih mo aziz babah khoto mamah mo jabih kaychofoh a san wa id kima katchofek mamak zwin,neutral
ary,train,daba ana ktabt lih bayla,neutral
ary,train,bghit nchof l erss b wi fi kiraykon,neutral
ary,train,hhhhhhhhhhh fado souk ch al fikom hadra mktsaloch mani tssalo lmoni,neutral
ary,train,nn machi hadra ana tito num lmara lawla ayet liha w alet lih mssafra lmasr w yet liha lmarra tanya,neutral
ary,train,ma bosin tal ohom ki nas ydoro wla ydakhlo ndhom kameratjarna hrab man tamak w awd lina ach kayn wkifach rahom ychin,negative
ary,train,live men studio chi haja apare lmixtape sahararecords,neutral
ary,train,defined a khouya dakchi fel library li ma baynach it ma katbthach,neutral
ary,train,w la bghit euphon daba a wlad l ab,negative
ary,train,dak lwld li lfou kan f shra dyal rass l am yak lol,neutral
ary,train,ila kan hada maci hors jeu wlah la awdt tfrjt f koora,negative
ary,train,had khatia mo amara massonia bach ykhrjo lya,negative
ary,train,sokte o siri deri hijab moskha,negative
ary,train,wa ghire sawtoo manardawch ibtissam tkon hiya min wra tolab akhrin hna mwalfin dima bi sadara,negative
ary,train,emten yiji nhar w ta mlo show bl maghrib plz,positive
ary,train,salma momkin tkolna fin nkdro nshofok,neutral
ary,train,tssawrii wa t li tzad dio b o ndir mabghit b ktar mn mn bareh blil lyom hiya tzadetb,neutral
ary,train,a laaaa drari ndna kil bo b real so,neutral
ary,train,marahna ndirou walo kan olo sah suhila charfaate dzayer o ahssn men kenza ghayranin hh,neutral
ary,train,fachh chafoo wala wahd kayhdar m aha ad bdaww omn ha homm hit kifma ziza lik bnt,neutral
ary,train,siri jam i rasak wdo li sou mo ak l mara kalba chomir barka t ayri finas nti marabya bent darkom ma aliti tawa ad ma andak madi,neutral
ary,train,nas tgol bli thakar hssabha machi kant jasosa ya ni haydoh liha daba,negative
ary,train,chkon hnaaa li ba i fay nykamal m ana,neutral
ary,train,follow hna a ti rah awna f vote,neutral
ary,train,iwa mabrouk lik rak fati bsa tak o khamssa o khmiss lik bla man awssouk,positive
ary,train,hhh sur ttana hadi la bladi khass kolchi idir copie coller okolchi ihawl inchorha,neutral
ary,train,ou mbar in fbladna kaytak nta ya halab wahad lhaja sahra maghribiya bghiti wla krahti we sir barad la rassak nta we li adak,negative
ary,train,safi saktouna rah ghanchamto fina chi brahach plz sawto ou sakto rah ghir ma lab daba tchofo,negative
ary,train,mabrokk tamorr tistahil kol khairrr tahiya lik mn baladk tanya lmaghrebbb,positive
ary,train,lik ta nti a lghzala dyalna,positive
ary,train,sauf que wella tahowa amer bezzaf makaynch fin tstalasioni,neutral
ary,train,makrehtsh nshi shi track mjmo en nta o w w ghanfree,neutral
ary,train,deja wa d l wa t al maghrib kan msta mar man lespagne,neutral
ary,train,ana tyban liya a tarja lmaghrib amla b raymi massi i mn chamkar raha galt mn am tat lam b hadchi,negative
ary,train,ax awa hadok mirikan ghir tnso lina,neutral
ary,train,momkin ntleb mnk tliba afak,neutral
ary,train,daba kayn batna and lakharoune,neutral
ary,train,hhh ana dert liha blok mab itch kan raa ac kaktbb mais bayna jatha lala homa m rofin katjihom lhala,negative
ary,train,wach hadchi li kteb mosaab yalah had liyam wla ch al hada,neutral
ary,train,chkoun endo la vid o li hadrat fiha fella ela ibtissam f la radio plzz,neutral
ary,train,smahli mais wach mcharjinek a khoya kat awd nafss hadra o katjbed lina ghiir sdaa leb lihom ola hayed tag bety o dir libghti,neutral
ary,train,yalah rapha chad l hima o kolna m ak yabn l jabbour,neutral
ary,train,winti hebibebte lhob dial albn a grand bizouu,positive
ary,train,ga li kansoni lih w kanl ah dayr mzika khalijia kanwli nsift lih ghir appel moi howa isoni lia,neutral
ary,train,one think i do it for me kan al iny f sba ou ntfakar da kat moyye h tel dar eddaya,positive
ary,train,hhh ana saraha dahkouni ma dartch nasbar man kalakh dyalhoum safi hadi akhir mara najbdhoum,neutral
ary,train,awddi ghi yn lo chitan ykhliwna zwinin manchj o manharbo sinon houma lkhasrin hna btissam naaajmaa db,negative
ary,train,hadak li amel follow le btissam tle faux compte,neutral
ary,train,rohi ya habibti nti fin o hna fin kbir lik bach tfhmi tamaghrabit o afa khti madorich b souka tani,negative
ary,train,merciii la a la fanaan ala a la like bneftekher b amtalak,positive
ary,train,lach alaghini dyalk matadirihomch vidyou clib,neutral
ary,train,raho badi daba ana nsma fih,neutral
ary,train,lfilm kaml bach td i m a lmalik flekher,neutral
ary,train,akhbaro bissm lfadiha rah danya dawara ok,negative
ary,train,hhhh tatfaraj fl montakhab o f arriadia lmaraaaad,negative
ary,train,fati mtnsaych twsli liha bli hta ihab osouhaila oamire khazi o li chada o two ton o salma rachid otechkor jmohre li li kiswtliha,neutral
ary,train,hbiba gathaydi hadik photo dyali mn lprophil bla sda minoucha,neutral
ary,train,mama bghat lyrics clean o wlad l bghawni nkoun khayb bach ygolo kayn hay nahda,neutral
ary,train,na lbass lina lmohim howa nte tkone bkhiiiir,positive
ary,train,awalan mabrouk allah ikmel lik l bilkhir tanyan tina hashtag li bghiti nkhdmo lih o ndiro mention l nona chno banlik,positive
ary,train,ndk lh dakchi lach mrna dina la ab hit dima kankbro chan lbrani tsala tswit ndna fachkhrjh ihab fhmooha,negative
ary,train,pause kayktb zwin walakin kayfkrni f lmorfo hna wajt lfgossa,negative
ary,train,machi ghi hiya kamliiiiiiin ghankono awl l adirin,neutral
ary,train,mochkila ana andi man hhhh tfooo,negative
ary,train,betyy hna bikhiir b choufteeeek,positive
ary,train,li nha najma kbira bdat min bladha law raht ala maser aw lebnon aw lkhalij b dha ijat kano malouha ahssan,neutral
ary,train,g,negative
ary,train,ana matejem nich m a tab a dyal yazon ana hadik blokitha ana kanhder la lmgherbiat li khelaw bent bladhom omchaw end lbrani,neutral
ary,train,bismilah kolchi ya od mar ba wa laf mar ba wili alah ntoma sahlin adna,positive
ary,train,matdiha fklam lfans libaghi ihtmak rakzi la la ab bghinah lik khadmi leval mzn drbi bzf lbarnamaj sala,positive
ary,train,hadi ghir rwayd je pense,neutral
ary,train,mzyan mli fehemti khessna ndiro chi haja hya rass le rba had lyam,positive
ary,train,ta nod tga ed tankhalli lik chi aja bigben,neutral
ary,train,pas le choix ghadi nmchi bkri w safi ba yine ka ykhrejou bnadem m a h,neutral
ary,train,hhh nti llah ijib li fih lkhir oyrza na sa a osalama,positive
ary,train,adna kolchi wntoma copier collersiri sawli fin ymcho bnat ndkom bach ytzawjosadin la raskom bach zbalkom maychamo ad,negative
ary,train,chkoun had fnana elissa chrine ragheb chkon likitwassel m a jomhoro b tari a li bghaw tisskatiyin,neutral
ary,train,hram lik hanane tlab menk t awnha nta mamsawa ch lawla gartoha o tani pff salami ali haydi saho,negative
ary,train,had la faute ma chafha had illa nta olhakam,neutral
ary,train,marrif ghada ta l mars hh,neutral
ary,train,hta ana ma mrii freht bchi haja man bassouma,negative
ary,train,howa bghaha tndam lcharika dyalo ohiya jdida ibtissam aft ama kon bgha ta amol boghniya kon raha waf at,neutral
ary,train,lay rham babak ila ma elbi lina had sbaaah wadehna beel mnkouum mawdou kiwaterni bezaaf,negative
ary,train,hhh mskina lah ikhliha likooooooooooom machi mochkil richdihom rah t dri thtajihoooom rah khasna manw foch mn tswit,positive
ary,train,hanouna hbibati kanbghik nti o rafa o ba di man abidar o ghani lia jini nichan o rafa akid wld maroc hbi,positive
ary,train,bghit n ol lyom wla tnin jay,neutral
ary,train,walayn l tbonmhom santi mn dak l am m rofa rjlih mchat w may dch yl b ktr mn matchs w houa mprete wilshere w mkhli l ahattfo,neutral
ary,train,wakha hna kolna mgharba n tik exempls ana ghir wa fa kan ayan fakhti jani wahad haz ard gali khodi tsawri,negative
ary,train,walakine wach kbir wla la,neutral
ary,train,malikna lghali abib cha b rabi y afdo lina w ytawalih f omro,positive
ary,train,hhhh y dar tanchk frasi tangol wach madrtoch,neutral
ary,train,lmohim matnsaych tchofi mawazine f tv w l amal jay dyal claudia li fih ibtissam tahoa f tv,neutral
ary,train,nn db bghina sadara khaliw tnsta hta nwes o lfari pklkllllllllzzzzzzzzzzzzzzzz,neutral
ary,train,kidehkuni duk likay eyru paulo coelho o huma mrhum aryin lih chi aja,negative
ary,train,hadak louiyen lli dkhel f llekher iyan asmitou d j,negative
ary,train,yallah brdo baghi tjbdhom tani hadchi bach ynf daba,neutral
ary,train,ach darori sifara rah ma mr daro chaghab dak mazembe wakha kayghwto mais ghir f bab l hotel w dakchi,negative
ary,train,mabrouk oghniya min fans hanane elkhader o rafael jabbour mabaqish,positive
ary,train,rah kolchi kiktb liha ta ali zwina rah ghi hacharaat homa li dayrin dakchi,neutral
ary,train,walaw hhh ana machi shrawya had smya dayraha ghi bach fach yji chi hed mn jiran andi y ytli biha kanhs brassi fchkel hhh,neutral
ary,train,az azaaaa layrdi liik had mosstalah howa monassib liha,neutral
ary,train,ya awm ya as ab fitna ba do an said a san likom ida abin tcheharo alkon b id an said wa ila mara y sal khir,negative
ary,train,rihab hatim taya f sa ibtk,neutral
ary,train,ma kaynach o oba la ntihar hit ma kaynch logique tabe wahed aslan ga ma msewe le had denya,neutral
ary,train,wayiih asslan ana ma andiich m aha wlkin hna ghanbano khaybiin,negative
ary,train,tghol li bghat an ba da ana ka ana kanabghi wlad bladi fi lawal ok ihab o hanane fhamti o lfatna makaynach ghir fi twittre,positive
ary,train,dba ana kanlqak sur ig w kangoul maerf fin cheft had lbent,neutral
ary,train,aji a souwlo la limouna rah da ha,neutral
ary,train,nn rah ghir bach maydouzch chi motor oula chi aja,neutral
ary,train,ghadi ygheni ghir chi me te bel arbia machi l oghnia kamla wa ila,negative
ary,train,bhal lwalida fach knt ba i sghir kanmchi l emam m a lwalid kant katgol lia matkhelich lkessal i areb lik,neutral
ary,train,hhhh khoya ghir wadeht liik makabghich n ss onass m al a mni hhh,neutral
ary,train,wa laa matgoulich hakaayt iyen daba ta nas dial europe w us khayfin lih mn l ein haha d,negative
ary,train,wa katnachro bla khota walahla tafernah haka jours o ana bagha nwassel ghir fikra l tasswit fshorty madaha fiya had,negative
ary,train,chi nas khasahom idara la gadha,neutral
ary,train,kayn joj anwa mn la nafd whd hayawane wtani fsd bin lwidan,neutral
ary,train,tali ila bisadara tiksatttttttttttttttttttt ibtissam,positive
ary,train,bassma maghykon la tssawer la video,neutral
ary,train,anari mal saad o da ch mafhamtch,negative
ary,train,w entiii ahla chi bhayatna,positive
ary,train,iwa imta ndrbo chi zlaga d rayb,neutral
ary,train,koulchi skhef b had sehd wla ghir ana,neutral
ary,train,hanona fakher lmaghrib slmi bzf la rafa ihab oali bghitk tchkeri group hanonaandrafayel lovers,positive
ary,train,ghaltat mo amed khamisn hamach sa rawyin w rifiyin f arb mais rifiyin rjal wakha awlto tghrohom rafdo w kayn khawana tb okom,negative
ary,train,tsala lik lbouta w matkhsrch lik l brika,neutral
ary,train,awlo lina bzaf hadxi,neutral
ary,train,modric men e o ibouss ay haja f had la plan te,neutral
ary,train,hhhhh lkhobz o zit o atay,neutral
ary,train,fati ila hdarti m a hanan plz oli liha tb a mzyan m a kolchi ma tbadal m a hta had plz kolhom,positive
ary,train,hahaha fadaises yallah tabonna f beinsport baghi yberred flousso fnhar wa ed galihom machi me ol ga cl m a h chli a,negative
ary,train,katkun katserkel f tl o katkun aamda ghir katji dak ta tante kibdaw ikhurju les nudes,neutral
ary,train,laaaaaaaaaaa bssah hada maghribi ahyanari chhal hna wa rin,positive
ary,train,la famille ta souhail bgha ygolikom chi aja,neutral
